Employment,count,mean,std,min,25%,50%,75%,max
Permanent,352.0,8.8684375,0.3223977150677586,7.96,8.64,8.86,9.0925,9.88
Probationary,319.0,6.255078369905956,0.60495119882379,4.52,5.86,6.22,6.64,7.9
